Run,N,K,Time(ms),Accuracy,NMI,ARI,P
1,10000,2,3787,0.5065,0.000121918,6.90007e-05,0.02
2,10000,2,4648,0.5074,0.000158017,0.000119046,0.02
3,10000,2,4626,0.5081,0.00018932,0.000162447,0.02
4,10000,2,3173,0.5074,0.000158017,0.000119046,0.02
5,10000,2,3090,0.5056,9.04928e-05,2.54366e-05,0.02
6,10000,2,3250,0.5073,0.000153774,0.000113164,0.02
7,10000,2,4115,0.5027,2.10347e-05,-7.08566e-05,0.02
8,10000,2,3998,0.5074,0.000158017,0.000119046,0.02
9,10000,2,3374,0.5007,1.41396e-06,-9.80537e-05,0.02
10,10000,2,3366,0.5022,1.39654e-05,-8.06579e-05,0.02
1,10000,4,2418,0.7544,0.750132,0.666733,0.02
2,10000,4,2510,0.7509,0.75004,0.666602,0.02
3,10000,4,2347,0.5052,0.500128,0.333425,0.02
4,10000,4,2607,0.7552,0.750085,0.666717,0.02
5,10000,4,2491,0.5083,0.500118,0.333362,0.02
6,10000,4,2368,1,1,1,0.02
7,10000,4,2270,0.7524,0.750086,0.666654,0.02
8,10000,4,2332,0.5026,0.500077,0.333316,0.02
9,10000,4,2031,0.7545,0.750144,0.666745,0.02
10,10000,4,2709,0.7547,0.750174,0.666775,0.02
1,10000,8,1758,0.4289,0.457738,0.302797,0.02
2,10000,8,1678,0.3532,0.329755,0.19364,0.02
3,10000,8,1914,0.4683,0.425238,0.309037,0.02
4,10000,8,2367,0.1886,0.0468337,0.0267271,0.02
5,10000,8,2354,0.3116,0.189647,0.133739,0.02
6,10000,8,2127,0.6595,0.647358,0.548628,0.02
7,10000,8,2564,0.2947,0.286117,0.235043,0.02
8,10000,8,3703,0.2387,0.117098,0.0684034,0.02
9,10000,8,2836,0.1833,0.0288443,0.0160782,0.02
10,10000,8,2485,0.1629,0.0097422,0.00529417,0.02
