Run,N,K,Time(ms),Accuracy,NMI,ARI,P
1,1000,4,33,0.268,0.00175287,-0.00146245,0.05
2,1000,4,31,0.273,0.0033687,0.00010273,0.05
3,1000,4,27,0.286,0.00476214,0.00135558,0.05
4,1000,4,29,0.274,0.00340039,0.000137781,0.05
5,1000,4,37,0.269,0.00318343,-0.000268017,0.05
6,1000,4,30,0.269,0.00142376,-0.00169624,0.05
7,1000,4,34,0.267,0.00301143,-0.0004761,0.05
8,1000,4,29,0.279,0.00455536,0.00107871,0.05
9,1000,4,31,0.267,0.00233785,-0.000891755,0.05
10,1000,4,29,0.272,0.002402,-0.000896347,0.05
1,1000,4,53,0.761,0.75083,0.666704,0.2
2,1000,4,49,0.759,0.750244,0.666104,0.2
3,1000,4,47,1,1,1,0.2
4,1000,4,49,0.755,0.750125,0.66584,0.2
5,1000,4,52,0.755,0.750203,0.665905,0.2
6,1000,4,50,0.757,0.751057,0.666677,0.2
7,1000,4,49,0.758,0.750812,0.66652,0.2
8,1000,4,48,0.76,0.750502,0.666373,0.2
9,1000,4,48,1,1,1,0.2
10,1000,4,61,1,1,1,0.2
1,1000,4,97,0.634,0.801998,0.629219,0.4
2,1000,4,74,1,1,1,0.4
3,1000,4,82,1,1,1,0.4
4,1000,4,84,1,1,1,0.4
5,1000,4,84,1,1,1,0.4
6,1000,4,82,0.657,0.804536,0.63452,0.4
7,1000,4,84,0.634,0.801998,0.629219,0.4
8,1000,4,82,1,1,1,0.4
9,1000,4,82,1,1,1,0.4
10,1000,4,86,1,1,1,0.4
1,1000,4,117,1,1,1,0.6
2,1000,4,113,Z_true4Z_pred3,0.866025,0.713672,0.6
3,1000,4,120,1,1,1,0.6
4,1000,4,118,0.755,0.750073,0.665797,0.6
5,1000,4,115,1,1,1,0.6
6,1000,4,116,1,1,1,0.6
7,1000,4,114,1,1,1,0.6
8,1000,4,114,Z_true4Z_pred3,0.866025,0.713672,0.6
9,1000,4,122,1,1,1,0.6
10,1000,4,115,0.631,0.801879,0.628965,0.6
1,1000,4,171,1,1,1,0.8
2,1000,4,153,Z_true4Z_pred2,0.707107,0.499248,0.8
3,1000,4,165,1,1,1,0.8
4,1000,4,157,0.626,0.801786,0.628768,0.8
5,1000,4,159,1,1,1,0.8
6,1000,4,169,1,1,1,0.8
7,1000,4,157,1,1,1,0.8
8,1000,4,156,1,1,1,0.8
9,1000,4,161,Z_true4Z_pred3,0.866025,0.713672,0.8
10,1000,4,203,1,1,1,0.8
