500 43276
0 499 0.955524
0 489 0.438134
0 483 0.95814
0 482 1.06235
0 476 1.10347
0 472 0.94294
0 467 1.38686
0 462 1.86536
0 461 1.45384
0 455 1.57381
0 434 0.801345
0 431 0.922081
0 428 0.862852
0 425 1.18434
0 424 1.01381
0 417 1.18243
0 412 1.30395
0 409 1.20244
0 408 0.999282
0 395 1.20082
0 394 1.13592
0 386 1.18998
0 382 1.24437
0 377 1.05042
0 373 1.0317
0 369 1.69956
0 364 1.19615
0 362 1.66573
0 357 0.985366
0 356 1.43861
0 350 1.41011
0 347 0.744304
0 344 1.22647
0 343 0.822613
0 338 1.21403
0 334 0.825959
0 329 0.811981
0 326 0.705167
0 319 1.39523
0 318 1.02091
0 304 1.07714
0 303 0.739693
0 292 0.379157
0 283 0.92185
0 282 0.968092
0 279 1.02103
0 276 1.64693
0 271 1.02582
0 266 1.20021
0 263 0.896699
0 255 0.892676
0 244 1.30522
0 238 1.18109
0 237 1.05118
0 232 1.0745
0 231 1.07814
0 222 1.04804
0 221 1.72943
0 220 1.17926
0 217 1.1536
0 216 1.05806
0 213 1.0702
0 201 1.16994
0 199 0.961463
0 197 0.866755
0 196 0.929679
0 191 0.670751
0 190 0.920157
0 187 1.19564
0 176 0.848011
0 173 1.03167
0 171 1.38678
0 169 1.00082
0 163 0.40173
0 158 0.474161
0 155 1.46993
0 154 1.34852
0 153 0.935801
0 150 1.23748
0 144 0.789068
0 140 0.537324
0 131 0.863994
0 130 1.113
0 128 1.24344
0 124 0.707234
0 123 1.34483
0 122 0.924498
0 121 0.607594
0 120 0.832674
0 119 1.10763
0 117 1.01474
0 116 0.793692
0 115 1.48699
0 113 1.1377
0 112 0.930784
0 109 1.31175
0 107 1.11622
0 106 1.41738
0 105 0.491604
0 104 0.885939
0 103 1.04056
0 102 0.726821
0 101 0.54659
0 100 1.11808
0 97 0.709469
0 96 0.858593
0 95 0.863987
0 94 1.36004
0 93 0.917174
0 92 1.10917
0 91 1.33135
0 89 0.317863
0 87 0.600972
0 86 1.54717
0 85 0.19326
0 84 1.40766
0 82 0.657371
0 81 0.836697
0 79 1.02344
0 78 0.753372
0 76 0.856739
0 75 1.16598
0 73 1.05749
0 72 1.37633
0 71 1.1057
0 70 1.15611
0 69 1.37047
0 68 0.735761
0 66 1.18487
0 65 1.33971
0 64 0.877893
0 63 0.967394
0 62 1.17481
0 61 1.01331
0 60 0.772454
0 59 0.699173
0 58 0.603035
0 57 1.33674
0 56 0.852907
0 54 1.27461
0 53 1.55047
0 52 0.703536
0 51 1.48077
0 49 1.51625
0 48 1.15118
0 45 1.19686
0 44 1.18666
0 43 1.49403
0 42 1.41187
0 40 1.15845
0 39 0.963446
0 38 1.05895
0 35 0.472625
0 34 0.957794
0 33 1.29088
0 32 1.2174
0 31 1.05737
0 30 0.596088
0 29 1.18441
0 28 1.63348
0 26 0.796998
0 25 0.720647
0 24 0.373582
0 23 1.30765
0 22 0.744077
0 21 1.22571
0 20 0.869173
0 19 1.16887
0 18 1.22935
0 17 0.908328
0 16 1.44384
0 14 1.08344
0 12 0.886553
0 11 1.01005
0 10 0.835945
0 9 1.30477
0 8 1.36684
0 7 1.04077
0 5 1.15658
0 3 0.967445
0 1 1.09805
1 499 1.51964
1 497 0.903146
1 489 0.719984
1 478 0.820901
1 477 1.20102
1 461 1.05304
1 460 0.91459
1 458 0.949862
1 456 1.05081
1 455 1.3932
1 453 0.339169
1 449 0.512243
1 439 0.93273
1 426 0.540222
1 420 0.831713
1 400 1.28904
1 392 0.668964
1 385 0.671667
1 382 1.37127
1 381 0.564557
1 369 0.944298
1 364 1.08163
1 357 1.27519
1 354 0.858557
1 353 1.67006
1 351 1.0645
1 344 0.4553
1 338 1.37344
1 334 0.882632
1 321 1.18958
1 315 1.10215
1 311 1.44481
1 307 0.623819
1 300 1.63347
1 298 1.03858
1 292 0.808862
1 288 1.02939
1 287 0.779501
1 284 1.34403
1 278 1.40841
1 276 1.34382
1 272 0.763706
1 268 0.905544
1 264 1.03601
1 263 1.16228
1 260 0.854213
1 258 1.24356
1 256 1.40544
1 255 0.786169
1 252 0.646545
1 249 0.950571
1 247 0.512918
1 240 1.34003
1 238 0.580842
1 237 0.903463
1 235 0.739101
1 232 0.590349
1 221 0.576314
1 209 1.06525
1 202 0.776991
1 186 1.44875
1 176 0.736416
1 174 1.16217
